time	x	y	z
2	-147	-29	-96
32	-66	-42	-86
63	-124	-46	-26
94	-115	-75	-158
125	-89	-48	-116
157	43	118	-23
188	-140	-43	-115
218	-21	2	29
249	40	99	-2
280	-74	22	23
312	-35	-1	-33
342	37	45	-1
373	-56	-89	12
404	-26	-9	-64
435	5	18	97
467	-16	-29	-11
497	-113	-11	-17
528	-37	-28	67
559	-59	15	18
590	-11	-3	78
622	-33	-22	-78
652	-40	-53	43
683	-24	34	-67
714	-28	31	27
745	7	22	71
777	-79	25	1
807	-46	42	-32
838	-79	45	-103
869	-26	-9	67
900	7	59	-127
932	-13	-68	-37
962	-3	-65	42
993	-23	24	-36
1024	-83	-66	-51
1055	9	12	-95
1087	-85	5	-36
1117	32	-6	-92
1148	70	-19	52
1179	76	-86	65
1210	34	-226	48
1242	-100	-102	61
1272	-73	-123	-29
1303	15	-226	100
1334	52	-217	-56
1365	217	-367	127
1397	328	-488	94
1427	194	-122	68
1458	680	-310	152
1489	409	-300	67
1520	1367	-653	702
1552	1515	-253	509
1582	1210	-274	449
1613	1149	-303	686
1644	2264	-160	1156
1675	1983	-98	1136
1707	2333	301	757
1737	2611	741	220
1768	600	-76	1041
1799	260	96	297
1830	1127	171	452
1862	-167	11	875
1892	167	73	743
1923	1295	554	291
1954	1520	970	468
1985	2898	1530	565
2017	1211	2003	591
2047	-1193	2786	1624
2078	-157	2997	3588
2109	581	2512	5242
2140	1113	2559	3086
2172	2476	1274	-1385
2202	-291	-2393	-8213
2233	-4516	-3669	-14781
2264	-4269	202	-17084
2295	-3430	4377	-16510
2327	-1474	6896	-15470
2357	698	7352	-15279
2388	2778	5671	-15894
2419	4072	2091	-16615
2450	4694	863	2393
2482	-4557	-946	289
2512	374	2228	4077
2543	-3668	1933	1480
2574	-1470	-518	6105
2605	432	721	8724
2637	-288	-272	-793
2667	1883	-1523	-5002
2698	-2006	-3430	-13558
2729	157	-2021	-15672
2760	-395	-1887	-15414
2792	-859	-1303	-15676
2822	-1003	-373	-15623
2853	-914	646	-15527
2884	-522	1348	-15524
2915	-35	1640	-15298
2947	-4840	507	7137
2977	1076	303	2346
3008	-470	-166	4439
3039	2389	71	2309
3070	1693	-102	1613
3102	3908	1962	7177
3132	333	4021	1335
3163	132	-751	74
3194	574	-2450	-6398
3225	-800	-9088	-9538
3257	-6486	-5175	-12052
3287	-7058	85	-13085
3318	-6276	5438	-11957
3349	-4689	9166	-9250
3380	-3085	11137	-7029
3412	-1730	12037	-5103
3442	12043	12758	-5538
3473	-5035	185	1219
3504	-2378	-1721	-1189
3535	-5358	-889	174
3567	-2568	-988	-3528
3597	-5390	-979	-4864
3628	-309	-106	-395
3659	-1483	-89	3573
3690	1753	-122	8680
3722	-4650	2358	14425
3752	-3465	-678	15338
3783	-2849	-3649	15055
3814	-1437	-5525	14320
3845	167	-6020	14151
3877	1699	-4931	14495
3907	2714	-2687	14983
3938	1628	1241	3847
3969	-1430	3528	-723
4000	639	1304	-698
4032	74	874	-1836
4062	-2503	-98	-1637
4093	5541	3725	-3997
4124	3575	348	-4967
4155	9360	-1223	1381
4187	1384	1071	-1035
4217	1426	1803	4865
4248	-268	7828	10722
4279	-7032	3725	15086
4310	-7153	-3386	14632
4342	-5452	-8805	12067
4372	-3366	-11660	9546
4403	-1313	-12760	7917
4434	523	-12824	7810
4465	-26747	2164	-5727
4497	4774	1234	1704
4527	-5192	-2061	-1953
4558	-3070	3010	-1515
4589	-4391	2115	-503
4620	-3830	2167	2413
4652	-3790	2558	7937
4682	1812	2147	461
4713	1983	-250	-2000
4744	-338	-2246	-9114
4775	-3646	-3048	-12178
4807	-4294	178	-13051
4837	-3755	3372	-12562
4868	-2625	5903	-11687
4899	-1179	7294	-10841
4930	362	7530	-10701
4962	1870	6694	-11037
4992	-12131	3013	289
5023	-1770	-2125	-1666
5054	530	-2719	-486
5085	-1189	-905	1376
5117	1359	2491	1069
5147	-804	997	207
5178	-2222	-6318	1841
5209	1009	1753	-1876
5240	1102	4855	-3919
5272	-5572	13579	-7748
