time	accelerometer_x	accelerometer_y	accelerometer_z	gyroscope_x	gyroscope_y	gyroscope_z	
1	-1774	790	116	442	1331	-120
6	-1649	1129	212	-840	622	-588
11	-1846	1034	580	-840	622	-588
16	-1852	898	849	-840	622	-588
21	-1923	930	656	-840	622	-588
26	-2271	1063	58	-840	622	-588
31	-2567	1069	-377	-840	622	-588
36	-2449	896	-532	-869	131	-1174
41	-2358	815	-399	-869	131	-1174
46	-2484	885	-259	-869	131	-1174
51	-2488	937	61	-869	131	-1174
56	-2623	812	391	-869	131	-1174
61	-2788	741	591	-869	131	-1174
66	-2919	732	745	-495	242	-1125
71	-2984	713	577	-495	242	-1125
76	-2930	760	207	-495	242	-1125
81	-2753	827	-31	-495	242	-1125
86	-2536	884	-183	-495	242	-1125
104	-2141	788	-33	-495	242	-1125
106	-2056	813	-19	-1101	-26	-1724
111	-1832	852	-13	-1101	-26	-1724
116	-1614	757	24	-1101	-26	-1724
121	-1395	622	66	-1101	-26	-1724
126	-1167	450	66	-1415	-384	-140
131	-782	150	84	-1415	-384	-140
136	-585	-183	94	-1415	-384	-140
141	-283	-325	131	-1415	-384	-140
146	160	-291	127	-1415	-384	-140
151	549	-295	79	-1415	-384	-140
156	728	-523	63	-1415	-384	-140
161	779	-843	147	-1964	-678	1716
166	788	-1174	321	-1964	-678	1716
171	641	-1101	601	-1964	-678	1716
176	490	-587	933	-1964	-678	1716
181	277	-49	1286	-1964	-678	1716
186	-234	574	1582	-1964	-678	1716
191	-920	966	1842	-609	833	1213
196	-1704	974	1717	-609	833	1213
201	-2700	951	1201	-609	833	1213
206	-4048	1394	659	-609	833	1213
211	-5595	2305	-136	-609	833	1213
216	-7081	3139	-799	-609	833	1213
221	-8197	3003	-1277	-1190	-1016	-2814
226	-8300	2255	-1555	-1190	-1016	-2814
231	-6689	2231	-1457	-1190	-1016	-2814
236	-5519	1895	-1210	-1190	-1016	-2814
241	-4472	1179	-1031	-1190	-1016	-2814
246	-3397	724	-811	-1190	-1016	-2814
251	-2261	455	-720	-1803	-333	-1498
256	-1324	329	-722	-1803	-333	-1498
261	-440	298	-734	-1803	-333	-1498
266	379	227	-779	-1803	-333	-1498
271	998	60	-791	-1803	-333	-1498
276	1674	-165	-651	-1803	-333	-1498
281	2275	-539	-440	464	261	4779
286	2584	-1096	-239	464	261	4779
291	2584	-1644	-247	464	261	4779
296	2439	-2026	-345	464	261	4779
301	2266	-2078	-526	464	261	4779
306	1948	-1524	-501	464	261	4779
311	1394	-570	-106	464	261	4779
316	567	188	370	-1007	1595	2038
321	-757	1250	840	-1007	1595	2038
326	-2303	2329	1009	-1007	1595	2038
331	-3994	3071	596	-1007	1595	2038
336	-5355	3176	298	-1007	1595	2038
341	-6616	2906	423	-1007	1595	2038
346	-7357	2630	282	37	-885	-2156
351	-7552	2573	-351	37	-885	-2156
356	-7406	2713	-1175	37	-885	-2156
361	-6965	2513	-1826	37	-885	-2156
366	-6274	2002	-1976	37	-885	-2156
371	-5603	1520	-1499	37	-885	-2156
376	-4883	1208	-837	-520	-450	-3064
381	-4217	1029	-317	-520	-450	-3064
386	-3536	870	84	-520	-450	-3064
391	-2880	822	265	-520	-450	-3064
396	-2145	859	283	-520	-450	-3064
401	-1464	874	175	-520	-450	-3064
406	-853	951	101	-605	677	-1836
411	-150	1061	30	-605	677	-1836
416	605	1018	-102	-605	677	-1836
421	1273	726	-252	-605	677	-1836
426	1859	309	-493	-605	677	-1836
431	2343	-367	-936	-605	677	-1836
436	2620	-939	-1279	693	-550	3916
441	2877	-1072	-1360	693	-550	3916
446	2954	-1154	-1330	693	-550	3916
451	2827	-1411	-1119	693	-550	3916
456	2502	-1667	-684	693	-550	3916
461	2003	-1654	-294	693	-550	3916
466	1421	-1128	79	693	-550	3916
471	681	-553	626	-382	3869	2529
476	-598	335	1571	-382	3869	2529
481	-2151	1645	2437	-382	3869	2529
486	-3599	2684	2768	-382	3869	2529
491	-5014	3154	1641	-382	3869	2529
496	-6047	3120	157	-382	3869	2529
501	-6873	2967	-1283	657	-321	-1650
506	-7568	3053	-2220	657	-321	-1650
511	-7748	3094	-2472	657	-321	-1650
516	-7688	2918	-2258	657	-321	-1650
521	-7385	2572	-1791	657	-321	-1650
526	-6739	2306	-1379	657	-321	-1650
531	-5870	2198	-1107	288	-1315	-3707
536	-4873	2054	-1000	288	-1315	-3707
541	-3977	1811	-910	288	-1315	-3707
546	-2946	1625	-725	288	-1315	-3707
551	-1811	1570	-576	288	-1315	-3707
556	-464	1439	-452	288	-1315	-3707
561	575	1006	-387	-82	-220	-1422
566	1456	376	-236	-82	-220	-1422
571	2160	-77	-134	-82	-220	-1422
576	2643	-366	-150	-82	-220	-1422
581	2949	-651	-88	-82	-220	-1422
586	3126	-1037	-23	-82	-220	-1422
591	3202	-1508	-3	668	-76	4984
596	3145	-1912	-1	668	-76	4984
601	2925	-2109	-80	668	-76	4984
606	2721	-2014	-245	668	-76	4984
611	2331	-1778	-347	668	-76	4984
616	1785	-1600	-319	668	-76	4984
621	903	-1371	-86	668	-76	4984
626	-368	-371	407	-746	2140	1079
631	-2089	1303	1135	-746	2140	1079
636	-4206	3140	1780	-746	2140	1079
641	-5892	3596	1832	-746	2140	1079
646	-7191	2945	1444	-746	2140	1079
651	-7949	2193	743	-746	2140	1079
656	-8151	2102	43	849	-782	-2396
661	-8082	2331	-874	849	-782	-2396
666	-7766	2294	-1763	849	-782	-2396
671	-7138	1971	-2465	849	-782	-2396
676	-6347	1627	-2707	849	-782	-2396
681	-5375	1317	-2580	849	-782	-2396
686	-4422	1138	-2191	321	-2547	-3451
691	-3568	1032	-1716	321	-2547	-3451
696	-2817	963	-1198	321	-2547	-3451
701	-2226	825	-822	321	-2547	-3451
706	-1667	609	-529	321	-2547	-3451
711	-1117	395	-358	321	-2547	-3451
716	-469	329	-298	1160	-347	-2094
721	115	261	-334	1160	-347	-2094
726	618	80	-446	1160	-347	-2094
731	977	-196	-591	1160	-347	-2094
736	1246	-489	-693	1160	-347	-2094
741	1480	-766	-566	1160	-347	-2094
746	1671	-960	-438	483	833	2863
751	1973	-1106	-346	483	833	2863
756	2418	-1187	-280	483	833	2863
761	2816	-1364	-221	483	833	2863
766	2985	-1512	-195	483	833	2863
771	3006	-1424	-164	483	833	2863
776	2834	-1277	-103	483	833	2863
