time	accelerometer_x	accelerometer_y	accelerometer_z	gyroscope_x	gyroscope_y	gyroscope_z
13006	-1684	881	590	-23	14	-87
13011	-1703	890	553	-23	14	-87
13016	-1727	894	575	-23	14	-87
13021	-1727	864	577	-23	14	-87
13026	-1723	847	582	9	11	17
13031	-1740	861	589	9	11	17
13036	-1749	896	583	9	11	17
13041	-1741	876	569	9	11	17
13046	-1739	855	577	9	11	17
13051	-1726	856	603	9	11	17
13056	-1748	873	600	-26	33	-39
13061	-1746	863	596	-26	33	-39
13066	-1744	880	565	-26	33	-39
13071	-1752	903	585	-26	33	-39
13076	-1750	875	597	-26	33	-39
13081	-1746	863	606	-26	33	-39
13086	-1741	880	608	-29	5	-58
13091	-1729	858	619	-29	5	-58
13096	-1718	860	618	-29	5	-58
13101	-1728	880	600	-29	5	-58
13106	-1719	896	596	-29	5	-58
13111	-1711	874	601	-29	5	-58
13116	-1708	875	595	-59	62	-43
13121	-1721	892	571	-59	62	-43
13126	-1736	877	569	-59	62	-43
13131	-1748	870	589	-59	62	-43
13136	-1758	863	563	-59	62	-43
13141	-1758	864	577	-59	62	-43
13146	-1753	858	565	-56	-21	8
13151	-1750	861	579	-56	-21	8
13156	-1739	854	589	-56	-21	8
13161	-1732	855	587	-56	-21	8
13166	-1743	858	588	-56	-21	8
13171	-1740	876	595	-56	-21	8
13176	-1727	861	605	-56	-21	8
13181	-1721	829	621	-111	-43	-102
13186	-1721	845	587	-111	-43	-102
13191	-1737	870	579	-111	-43	-102
13196	-1765	898	504	-111	-43	-102
13201	-1778	864	557	-111	-43	-102
13206	-1749	849	590	-111	-43	-102
13211	-1731	828	609	-12	-5	131
13216	-1705	787	621	-12	-5	131
13221	-1690	809	608	-12	-5	131
13226	-1710	861	598	-12	-5	131
13231	-1706	862	578	-12	-5	131
13236	-1731	873	572	-12	-5	131
13241	-1745	868	575	-28	-4	14
13246	-1738	853	574	-28	-4	14
13251	-1761	903	582	-28	-4	14
13256	-1756	906	561	-28	-4	14
13261	-1746	885	589	-28	-4	14
13266	-1738	866	602	-28	-4	14
13271	-1727	855	599	-25	43	-29
13276	-1739	850	590	-25	43	-29
13281	-1734	848	585	-25	43	-29
13286	-1732	857	600	-25	43	-29
13291	-1738	868	592	-25	43	-29
13296	-1745	872	601	-25	43	-29
13301	-1758	871	596	-22	-9	74
13306	-1742	874	573	-22	-9	74
13311	-1732	878	564	-22	-9	74
13316	-1739	879	544	-22	-9	74
13321	-1739	881	560	-22	-9	74
13326	-1740	876	598	-22	-9	74
13331	-1733	842	596	-22	-9	74
13336	-1730	851	590	-32	19	-68
13341	-1734	851	608	-32	19	-68
13346	-1734	848	613	-32	19	-68
13351	-1718	845	607	-32	19	-68
13356	-1708	841	622	-32	19	-68
13361	-1700	862	630	-32	19	-68
13366	-1682	861	601	-6	-13	30
13371	-1683	890	578	-6	-13	30
13376	-1702	900	571	-6	-13	30
13381	-1708	876	561	-6	-13	30
13386	-1719	875	555	-6	-13	30
13391	-1731	878	566	-6	-13	30
13396	-1742	860	557	-22	8	-48
13401	-1737	850	558	-22	8	-48
13406	-1739	837	583	-22	8	-48
13411	-1737	832	600	-22	8	-48
13416	-1711	803	600	-22	8	-48
13421	-1711	817	623	-22	8	-48
13426	-1722	834	632	-29	84	59
13431	-1725	842	589	-29	84	59
13436	-1750	870	602	-29	84	59
13441	-1770	905	582	-29	84	59
