time	accelerometer_x	accelerometer_y	accelerometer_z	gyroscope_x	gyroscope_y	gyroscope_z
21006	-1448	1522	10	-71	59	-81
21011	-1496	1532	22	-71	59	-81
21016	-1523	1513	7	-71	59	-81
21021	-1526	1519	-3	-171	-47	-20
21026	-1499	1491	-9	-171	-47	-20
21031	-1445	1461	-16	-171	-47	-20
21036	-1427	1440	1	-171	-47	-20
21041	-1405	1472	-5	-171	-47	-20
21046	-1408	1468	-40	-171	-47	-20
21051	-1415	1468	-58	-63	0	-83
21056	-1427	1491	-48	-63	0	-83
21061	-1451	1498	-31	-63	0	-83
21066	-1475	1490	-30	-63	0	-83
21071	-1465	1468	-6	-63	0	-83
21076	-1458	1460	7	-63	0	-83
21081	-1460	1484	11	-63	0	-83
21086	-1453	1475	0	-123	-34	-71
21091	-1432	1477	-8	-123	-34	-71
21096	-1436	1496	-21	-123	-34	-71
21101	-1447	1503	-2	-123	-34	-71
21106	-1456	1485	16	-123	-34	-71
21111	-1449	1467	17	-123	-34	-71
21116	-1447	1459	12	-34	12	-64
21121	-1444	1463	-11	-34	12	-64
21126	-1462	1484	-9	-34	12	-64
21131	-1478	1491	-12	-34	12	-64
21136	-1487	1494	-29	-34	12	-64
21141	-1485	1473	-22	-34	12	-64
21146	-1488	1459	-5	-103	-49	-165
21151	-1482	1423	2	-103	-49	-165
21156	-1464	1435	2	-103	-49	-165
21161	-1451	1430	9	-103	-49	-165
21166	-1457	1454	8	-103	-49	-165
21171	-1466	1468	31	-103	-49	-165
21176	-1468	1462	28	-87	-5	-169
21181	-1475	1447	33	-87	-5	-169
21186	-1497	1428	17	-87	-5	-169
21191	-1501	1426	4	-87	-5	-169
21196	-1486	1434	20	-87	-5	-169
21201	-1498	1432	24	-87	-5	-169
21206	-1496	1425	18	-30	-35	-87
21211	-1493	1431	9	-30	-35	-87
21216	-1500	1433	13	-30	-35	-87
21221	-1509	1432	46	-30	-35	-87
21226	-1525	1451	37	-30	-35	-87
21231	-1493	1448	17	-30	-35	-87
21236	-1489	1407	-4	-30	-35	-87
21241	-1507	1394	25	-101	-20	-61
21246	-1515	1400	37	-101	-20	-61
21251	-1525	1366	42	-101	-20	-61
21256	-1533	1369	45	-101	-20	-61
21261	-1523	1376	52	-101	-20	-61
21266	-1508	1394	35	-101	-20	-61
21271	-1497	1370	21	45	-11	-24
21276	-1489	1370	21	45	-11	-24
21281	-1491	1363	-7	45	-11	-24
21286	-1487	1360	-19	45	-11	-24
21291	-1503	1370	6	45	-11	-24
21296	-1522	1396	9	45	-11	-24
21301	-1522	1429	17	-78	-18	-1
21306	-1527	1430	29	-78	-18	-1
21311	-1526	1406	6	-78	-18	-1
21316	-1512	1389	41	-78	-18	-1
21321	-1509	1363	52	-78	-18	-1
21326	-1509	1366	47	-78	-18	-1
21331	-1518	1396	56	-46	10	-37
21336	-1518	1385	46	-46	10	-37
21341	-1513	1382	57	-46	10	-37
21346	-1519	1365	42	-46	10	-37
21351	-1512	1366	22	-46	10	-37
21356	-1526	1369	34	-46	10	-37
21361	-1532	1392	21	-59	-48	34
21366	-1538	1389	12	-59	-48	34
21371	-1545	1411	14	-59	-48	34
21376	-1521	1408	22	-59	-48	34
21381	-1536	1403	16	-59	-48	34
21386	-1525	1408	34	-59	-48	34
21391	-1530	1395	52	-59	-48	34
21396	-1525	1393	51	-75	21	23
21401	-1533	1399	44	-75	21	23
21406	-1505	1377	32	-75	21	23
21411	-1499	1360	34	-75	21	23
21416	-1493	1344	24	-75	21	23
21421	-1498	1380	34	-75	21	23
21426	-1504	1395	24	-27	-24	21
21431	-1528	1419	63	-27	-24	21
21436	-1526	1410	60	-27	-24	21
21441	-1528	1380	50	-27	-24	21
21446	-1515	1380	53	-27	-24	21
21451	-1515	1373	38	-27	-24	21
21456	-1515	1376	43	-83	-8	30
21461	-1504	1379	53	-83	-8	30
21466	-1533	1409	40	-83	-8	30
21471	-1534	1415	31	-83	-8	30
21476	-1541	1411	44	-83	-8	30
21481	-1534	1405	56	-83	-8	30
21486	-1526	1404	14	29	-20	46
21491	-1515	1398	28	29	-20	46
21496	-1512	1387	44	29	-20	46
21501	-1511	1388	54	29	-20	46
21506	-1514	1411	52	29	-20	46
21511	-1525	1422	57	29	-20	46
21516	-1518	1405	58	-70	26	-97
21521	-1523	1384	64	-70	26	-97
21526	-1523	1386	59	-70	26	-97
21531	-1522	1384	61	-70	26	-97
21536	-1521	1372	74	-70	26	-97
21541	-1520	1380	66	-70	26	-97
21546	-1517	1390	59	-70	26	-97
21551	-1525	1417	61	-27	72	-27
21556	-1519	1413	36	-27	72	-27
21561	-1520	1405	12	-27	72	-27
21566	-1522	1403	34	-27	72	-27
21571	-1511	1401	51	-27	72	-27
21576	-1517	1400	73	-27	72	-27
21581	-1511	1374	61	-89	8	-23
21586	-1506	1365	59	-89	8	-23
21591	-1491	1359	61	-89	8	-23
21596	-1493	1383	65	-89	8	-23
21601	-1500	1404	59	-89	8	-23
21606	-1511	1406	41	-89	8	-23
21611	-1504	1402	31	-7	-12	131
21616	-1513	1413	15	-7	-12	131
21621	-1522	1403	43	-7	-12	131
21626	-1530	1409	29	-7	-12	131
21631	-1520	1397	42	-7	-12	131
21636	-1518	1397	53	-7	-12	131
21641	-1531	1419	59	-49	-40	21
21646	-1509	1409	47	-49	-40	21
21651	-1498	1393	64	-49	-40	21
21656	-1504	1399	56	-49	-40	21
21661	-1516	1398	66	-49	-40	21
21666	-1516	1399	39	-49	-40	21
21671	-1524	1400	48	-62	37	-131
21676	-1526	1399	45	-62	37	-131
21681	-1522	1418	33	-62	37	-131
21686	-1532	1410	42	-62	37	-131
21691	-1534	1408	50	-62	37	-131
21696	-1541	1401	43	-62	37	-131
21701	-1532	1385	60	-62	37	-131
21706	-1517	1393	63	-55	12	-29
21711	-1507	1398	29	-55	12	-29
21716	-1502	1395	30	-55	12	-29
21721	-1515	1412	34	-55	12	-29
21726	-1527	1430	32	-55	12	-29
21731	-1536	1429	48	-55	12	-29
21736	-1519	1398	43	-113	-54	-49
21741	-1505	1373	52	-113	-54	-49
21746	-1509	1381	73	-113	-54	-49
21751	-1505	1381	77	-113	-54	-49
21756	-1497	1378	71	-113	-54	-49
21761	-1491	1379	52	-113	-54	-49
21766	-1492	1375	46	-91	32	-15
21771	-1495	1389	39	-91	32	-15
21776	-1499	1391	32	-91	32	-15
21781	-1514	1396	55	-91	32	-15
21786	-1518	1394	64	-91	32	-15
21791	-1524	1395	55	-91	32	-15
21796	-1514	1381	72	7	-5	-40
21801	-1524	1406	65	7	-5	-40
21806	-1530	1415	68	7	-5	-40
21811	-1521	1394	47	7	-5	-40
21816	-1517	1404	47	7	-5	-40
21821	-1535	1407	64	7	-5	-40
21826	-1518	1414	57	-95	30	-70
21831	-1514	1414	42	-95	30	-70
21836	-1518	1420	43	-95	30	-70
21841	-1529	1405	67	-95	30	-70
21846	-1533	1400	44	-95	30	-70
21851	-1522	1391	52	-95	30	-70
21856	-1521	1366	71	-95	30	-70
21861	-1501	1355	79	-304	-452	399
21866	-1502	1356	68	-304	-452	399
21871	-1497	1367	78	-304	-452	399
22011	-1799	853	-242	-304	-452	399
22016	-2037	792	-268	-523	-760	663
22021	-1886	779	-301	-523	-760	663
22026	-1902	754	-261	-523	-760	663
22031	-1887	735	-253	-523	-760	663
22036	-1881	762	-238	-523	-760	663
22041	-1883	852	-224	-523	-760	663
22046	-1908	882	-207	-507	-472	411
22051	-1927	956	-163	-507	-472	411
22056	-1950	994	-104	-507	-472	411
22061	-1920	1004	-16	-507	-472	411
22066	-1903	993	14	-507	-472	411
22071	-1886	929	-61	-507	-472	411
22076	-1832	841	-124	-638	-570	433
22081	-1819	856	-152	-638	-570	433
22086	-1817	895	-88	-638	-570	433
22091	-1861	1010	-27	-638	-570	433
22096	-1867	1066	25	-638	-570	433
22101	-1848	1059	47	-638	-570	433
22106	-1786	1051	93	-851	-509	444
22111	-1775	1019	125	-851	-509	444
22116	-1760	1020	111	-851	-509	444
22121	-1733	1030	77	-851	-509	444
22126	-1734	1061	96	-851	-509	444
22131	-1747	1073	129	-851	-509	444
22136	-1742	1119	168	-614	-187	361
22141	-1728	1112	119	-614	-187	361
22146	-1720	1065	104	-614	-187	361
22151	-1756	1110	124	-614	-187	361
22156	-1718	1094	185	-614	-187	361
22161	-1731	1096	95	-614	-187	361
22166	-1622	1032	149	-614	-187	361
22171	-1657	1077	57	-379	95	125
22176	-1704	1141	276	-379	95	125
22181	-1617	1031	161	-379	95	125
22186	-1692	1134	211	-379	95	125
22191	-1700	1063	232	-379	95	125
22196	-1701	1149	205	-379	95	125
22201	-1651	1486	35	-112	-4	377
22206	-1681	1290	-62	-112	-4	377
22211	-1707	1168	145	-112	-4	377
22216	-1685	1126	259	-112	-4	377
22221	-1713	1125	191	-112	-4	377
22226	-1639	1041	286	-112	-4	377
22231	-1661	1054	327	-272	119	620
22236	-1666	1117	194	-272	119	620
22241	-1661	1054	218	-272	119	620
22246	-1672	1133	218	-272	119	620
22251	-1781	1321	96	-272	119	620
22256	-1723	1148	202	-272	119	620
22261	-1891	1160	389	-389	-238	512
22266	-1870	836	514	-389	-238	512
22271	-1330	995	175	-389	-238	512
22276	-1597	1200	224	-389	-238	512
22281	-1691	1264	191	-389	-238	512
22286	-1775	1275	147	-389	-238	512
22291	-1711	1245	252	-1270	-602	944
22296	-1666	1204	381	-1270	-602	944
22301	-1663	1170	428	-1270	-602	944
22306	-1633	1172	486	-1270	-602	944
22311	-1802	868	864	-1270	-602	944
22316	-1730	1081	308	-1270	-602	944
22321	-1802	1145	348	-1270	-602	944
22326	-1585	1170	196	-640	-679	163
22331	-1883	2650	3146	-640	-679	163
22336	-1564	1227	428	-640	-679	163
22341	-1455	1181	441	-640	-679	163
22346	-1438	1180	455	-640	-679	163
22351	-1420	1105	642	-640	-679	163
22356	-1474	1318	652	-843	-85	110
22361	-1487	1396	636	-843	-85	110
22366	-1583	1449	478	-843	-85	110
22371	-1266	1059	518	-843	-85	110
22376	-2235	2278	1534	-843	-85	110
22381	-1469	1197	474	-843	-85	110
22386	-1568	1217	551	-626	-134	61
22391	-1458	1251	619	-626	-134	61
22396	-1471	1229	681	-626	-134	61
22401	-1487	1239	602	-626	-134	61
22406	-1479	1275	570	-626	-134	61
22411	-1465	1238	622	-626	-134	61
22416	-1427	967	643	-340	206	96
22421	-1360	1137	620	-340	206	96
22426	-1429	1132	713	-340	206	96
22431	-1426	1183	818	-340	206	96
22436	-1464	1258	779	-340	206	96
22441	-1486	1342	713	-340	206	96
22446	-1492	1337	659	-625	-127	368
22451	-1517	1284	654	-625	-127	368
22456	-1512	1259	638	-625	-127	368
22461	-1524	1190	613	-625	-127	368
22466	-1501	1154	582	-625	-127	368
22471	-1492	1069	534	-625	-127	368
22476	-1475	1037	581	-625	-127	368
22481	-1405	1060	645	-827	-129	418
22486	-1395	1092	695	-827	-129	418
22491	-1445	1143	719	-827	-129	418
22496	-1440	1214	806	-827	-129	418
22501	-1411	1237	821	-827	-129	418
22506	-1406	1158	854	-827	-129	418
22511	-1374	1213	848	-1169	-145	290
22516	-1420	1249	833	-1169	-145	290
22521	-1431	1307	826	-1169	-145	290
22526	-1463	1349	797	-1169	-145	290
22531	-1515	1224	793	-1169	-145	290
22536	-1578	973	800	-1169	-145	290
22541	-1370	1262	1097	-989	521	462
22546	-1382	1209	1117	-989	521	462
22551	-1373	1178	1077	-989	521	462
22556	-1366	1127	949	-989	521	462
22561	-1323	1038	1119	-989	521	462
22566	-1478	1087	901	-989	521	462
22571	-1354	922	806	-1220	-30	393
22576	-1428	1055	786	-1220	-30	393
22581	-1412	1192	902	-1220	-30	393
22586	-1405	1245	1028	-1220	-30	393
22591	-1393	1228	989	-1220	-30	393
22596	-1358	1222	911	-1220	-30	393
22601	-1469	1173	893	-844	-309	466
22606	-1357	1097	916	-844	-309	466
22611	-1342	992	972	-844	-309	466
22616	-1311	937	1001	-844	-309	466
22621	-1302	989	1025	-844	-309	466
22626	-1313	988	944	-844	-309	466
22631	-1288	1113	959	-844	-309	466
22636	-1332	1228	982	-1028	103	462
22641	-1373	1261	1093	-1028	103	462
22646	-1334	1180	1132	-1028	103	462
22651	-1247	1110	1137	-1028	103	462
22656	-1184	949	1230	-1028	103	462
22661	-1293	934	1194	-1028	103	462
22666	-1259	1050	1071	-130	-125	22
22671	-1262	995	988	-130	-125	22
22676	-1237	1018	1058	-130	-125	22
22681	-1218	1158	1156	-130	-125	22
22686	-1257	1258	1176	-130	-125	22
22691	-1284	1294	1208	-130	-125	22
22696	-1286	1229	1130	-492	-402	47
22701	-1250	1134	1160	-492	-402	47
22706	-1220	1074	1135	-492	-402	47
22711	-1191	1066	1112	-492	-402	47
22716	-1191	1034	1146	-492	-402	47
22721	-1200	1052	1175	-492	-402	47
22726	-1206	1098	1180	-427	-288	-77
22731	-1183	1077	1213	-427	-288	-77
22736	-1174	1081	1243	-427	-288	-77
22741	-1223	1150	1243	-427	-288	-77
22746	-1210	1013	1117	-427	-288	-77
22751	-1233	1000	1201	-427	-288	-77
22756	-1217	1105	1176	-334	-216	-105
22761	-1254	1182	1178	-334	-216	-105
22766	-1196	1037	1223	-334	-216	-105
