time	accelerometer_x	accelerometer_y	accelerometer_z	gyroscope_x	gyroscope_y	gyroscope_z
1	411	3856	-3181	315	483	-491
6	271	3741	-3097	1795	-664	-3767
11	64	3946	-2979	1795	-664	-3767
16	-99	4323	-2909	1795	-664	-3767
21	-137	4878	-2961	1795	-664	-3767
26	-64	5583	-3244	1795	-664	-3767
31	80	6296	-4197	1795	-664	-3767
36	135	6584	-5350	2639	-7369	-8102
41	325	6252	-6142	2639	-7369	-8102
46	568	5563	-6262	2639	-7369	-8102
51	1012	4972	-6010	2639	-7369	-8102
56	1186	4752	-5140	2639	-7369	-8102
61	1388	4091	-4230	2639	-7369	-8102
66	1584	3398	-3628	-6554	-6873	-11562
71	1813	2792	-3110	-6554	-6873	-11562
76	2035	2101	-2190	-6554	-6873	-11562
81	2114	1066	-1512	-6554	-6873	-11562
101	2156	-84	-108	-6554	-6873	-11562
101	2170	-84	-110	-6554	-6873	-11562
106	2154	-80	-101	-7301	-2828	-13066
111	2140	-85	-123	-7301	-2828	-13066
116	2131	-81	-135	-7301	-2828	-13066
121	2125	-73	-126	-7301	-2828	-13066
126	2121	-66	-150	-7125	3398	-12886
131	2108	-61	-146	-7125	3398	-12886
136	2110	-47	-139	-7125	3398	-12886
141	2097	-45	-155	-7125	3398	-12886
146	2094	-32	-173	-7125	3398	-12886
151	2095	-26	-157	-7125	3398	-12886
156	2085	-17	-164	-7125	3398	-12886
161	2087	-3	-168	-5792	8168	-10597
166	2095	-1	-176	-5792	8168	-10597
171	2089	18	-161	-5792	8168	-10597
176	2087	14	-146	-5792	8168	-10597
181	2093	19	-163	-5792	8168	-10597
186	2096	34	-158	-5792	8168	-10597
191	2105	36	-162	-4134	10969	-7593
196	2107	35	-152	-4134	10969	-7593
201	2106	39	-139	-4134	10969	-7593
206	2115	51	-140	-4134	10969	-7593
211	2116	46	-138	-4134	10969	-7593
216	2111	45	-134	-4134	10969	-7593
221	2119	47	-122	-2912	12280	-5216
226	2120	48	-126	-2912	12280	-5216
231	2122	43	-110	-2912	12280	-5216
236	2116	45	-112	-2912	12280	-5216
241	2119	41	-108	-2912	12280	-5216
246	2128	52	-95	-2912	12280	-5216
251	2122	51	-92	-2193	12839	-3049
256	2115	50	-85	-2193	12839	-3049
261	2113	45	-87	-2193	12839	-3049
266	2104	27	-75	-2193	12839	-3049
271	2109	32	-63	-2193	12839	-3049
276	2095	35	-68	-2193	12839	-3049
281	2088	18	-55	-231	-948	-661
286	1415	9061	20349	-231	-948	-661
291	-887	1297	1346	-231	-948	-661
296	-346	1278	295	-231	-948	-661
301	179	-49	712	-231	-948	-661
306	232	-152	1419	-231	-948	-661
311	-113	-331	1110	-231	-948	-661
316	-423	-462	762	-1238	-918	503
321	-1555	-472	2117	-1238	-918	503
326	-1405	-398	2994	-1238	-918	503
331	-853	-300	3020	-1238	-918	503
336	-788	247	3037	-1238	-918	503
341	-939	624	2886	-1238	-918	503
346	-979	571	2700	-2879	-106	273
351	-876	345	2372	-2879	-106	273
356	-913	229	2241	-2879	-106	273
361	-911	86	2151	-2879	-106	273
366	-806	-124	1796	-2879	-106	273
371	-717	-192	1427	-2879	-106	273
376	-553	-31	1001	-5535	-1559	-1176
381	-366	153	710	-5535	-1559	-1176
386	-303	266	659	-5535	-1559	-1176
391	-153	340	864	-5535	-1559	-1176
396	22	421	1133	-5535	-1559	-1176
401	91	500	1339	-5535	-1559	-1176
406	45	255	1512	-1628	-2355	-2441
411	87	-178	1587	-1628	-2355	-2441
416	234	-500	1536	-1628	-2355	-2441
421	357	-677	1410	-1628	-2355	-2441
426	459	-763	1317	-1628	-2355	-2441
431	564	-810	1253	-1628	-2355	-2441
436	571	-854	1219	-2226	-1608	-445
441	552	-1026	1246	-2226	-1608	-445
446	662	-1323	1417	-2226	-1608	-445
451	758	-1717	1489	-2226	-1608	-445
456	773	-1988	1570	-2226	-1608	-445
461	735	-1911	1514	-2226	-1608	-445
466	663	-1699	1489	-2226	-1608	-445
471	651	-1574	1535	-1196	-1109	-755
476	676	-1458	1596	-1196	-1109	-755
481	778	-1367	1662	-1196	-1109	-755
486	894	-1303	1777	-1196	-1109	-755
491	873	-1331	1884	-1196	-1109	-755
496	818	-1394	1947	-1196	-1109	-755
501	816	-1521	1983	-36	-413	-443
506	808	-1631	1897	-36	-413	-443
511	848	-1841	1781	-36	-413	-443
516	885	-2101	1755	-36	-413	-443
521	840	-2291	1796	-36	-413	-443
526	887	-2595	1913	-36	-413	-443
531	903	-2846	2156	771	1111	1668
536	793	-2990	2468	771	1111	1668
541	745	-3119	2664	771	1111	1668
546	710	-3366	2877	771	1111	1668
551	620	-3762	3121	771	1111	1668
556	588	-4209	3343	771	1111	1668
561	724	-4736	3531	1818	4551	6471
566	909	-5187	3807	1818	4551	6471
571	1175	-5653	4379	1818	4551	6471
576	1424	-6014	5297	1818	4551	6471
581	1599	-5862	6063	1818	4551	6471
586	1840	-5172	6290	1818	4551	6471
591	2011	-4227	5751	231	8874	9149
596	2134	-3241	4654	231	8874	9149
601	2583	-2619	3591	231	8874	9149
606	2774	-2262	3154	231	8874	9149
611	2770	-2213	3148	231	8874	9149
616	3113	-2334	2863	231	8874	9149
621	2792	-1506	2107	231	8874	9149
626	2433	-593	914	-342	9505	9300
631	2140	-15	-121	-342	9505	9300
636	2127	-31	-126	-342	9505	9300
641	2124	-30	-123	-342	9505	9300
646	2118	-29	-117	-342	9505	9300
651	2117	-36	-106	-342	9505	9300
656	2108	-29	-104	-1882	8714	9821
661	2116	-27	-94	-1882	8714	9821
666	2103	-25	-75	-1882	8714	9821
671	2099	-27	-106	-1882	8714	9821
676	2105	-23	-107	-1882	8714	9821
681	2097	-21	-96	-1882	8714	9821
686	2091	-26	-104	-3370	7018	11210
691	2096	-29	-98	-3370	7018	11210
696	2092	-20	-99	-3370	7018	11210
701	2080	-23	-91	-3370	7018	11210
706	2097	-23	-100	-3370	7018	11210
