time	accelerometer_x	accelerometer_y	accelerometer_z	gyroscope_x	gyroscope_y	gyroscope_z
1	-18	-112	1930	-24	-3	-56
6	-10	-102	1917	-55	-42	-30
11	-8	-109	1913	-55	-42	-30
16	-13	-108	1918	-55	-42	-30
21	-6	-104	1927	-55	-42	-30
26	-4	-116	1908	-55	-42	-30
31	-7	-101	1924	-55	-42	-30
36	-14	-108	1933	-77	51	43
41	4	-105	1923	-77	51	43
46	0	-108	1918	-77	51	43
51	-10	-107	1904	-77	51	43
56	-2	-100	1926	-77	51	43
61	-3	-109	1925	-77	51	43
66	-1	-113	1931	-45	17	-27
71	-9	-105	1920	-45	17	-27
76	-5	-108	1918	-45	17	-27
81	-8	-104	1917	-45	17	-27
86	-3	-103	1908	-45	17	-27
91	-11	-108	1924	-45	17	-27
110	2	-98	1929	-45	17	-27
111	-3	-104	1921	-45	17	-27
116	-8	-113	1910	-21	-6	77
121	-16	-114	1907	-21	-6	77
126	-12	-108	1917	-47	12	-108
131	-7	-108	1920	-47	12	-108
136	-7	-105	1897	-47	12	-108
141	-15	-104	1925	-47	12	-108
146	-15	-107	1907	-47	12	-108
151	-5	-104	1913	-47	12	-108
156	-5	-122	1911	-47	12	-108
161	-5	-105	1926	-77	-29	-8
166	-12	-109	1920	-77	-29	-8
171	-9	-104	1912	-77	-29	-8
176	-9	-107	1914	-77	-29	-8
181	-15	-110	1921	-77	-29	-8
186	-9	-114	1917	-77	-29	-8
191	-4	-109	1927	-54	30	40
196	-3	-99	1921	-54	30	40
201	-10	-112	1930	-54	30	40
206	-8	-114	1904	-54	30	40
211	-6	-113	1924	-54	30	40
216	-10	-112	1920	-54	30	40
221	-13	-107	1918	-62	27	-45
226	-8	-112	1922	-62	27	-45
231	-2	-115	1914	-62	27	-45
236	-8	-107	1924	-62	27	-45
241	-10	-108	1918	-62	27	-45
246	-7	-101	1937	-62	27	-45
251	-4	-112	1912	-48	1	-12
256	-9	-101	1916	-48	1	-12
261	-9	-109	1922	-48	1	-12
266	-10	-109	1922	-48	1	-12
271	2	-124	1923	-48	1	-12
276	-4	-109	1917	-48	1	-12
281	-5	-102	1921	-29	12	-20
286	-9	-114	1929	-29	12	-20
291	-2	-104	1909	-29	12	-20
296	-8	-108	1919	-29	12	-20
301	-7	-103	1921	-29	12	-20
306	-5	-103	1940	-29	12	-20
311	-5	-106	1874	-29	12	-20
316	-14	-101	1899	-35	32	30
321	-2	-98	1932	-35	32	30
326	-4	-107	1930	-35	32	30
331	-2	-106	1942	-35	32	30
336	-1	-103	1941	-35	32	30
341	3	-108	1925	-35	32	30
346	-12	-108	1902	-19	-5	-61
351	-13	-101	1923	-19	-5	-61
356	-13	-109	1906	-19	-5	-61
361	-11	-105	1889	-19	-5	-61
366	0	-107	1925	-19	-5	-61
371	-6	-107	1946	-19	-5	-61
376	-2	-102	1910	-21	41	-1
381	-4	-109	1932	-21	41	-1
386	-10	-110	1902	-21	41	-1
391	-2	-105	1926	-21	41	-1
396	-8	-103	1916	-21	41	-1
401	-7	-103	1925	-21	41	-1
406	-4	-107	1934	-82	45	-1
411	0	-107	1904	-82	45	-1
416	-6	-106	1913	-82	45	-1
421	-1	-109	1926	-82	45	-1
426	-15	-107	1916	-82	45	-1
431	7	-109	1927	-82	45	-1
436	-8	-104	1924	-55	8	-37
441	-9	-106	1921	-55	8	-37
446	-8	-108	1927	-55	8	-37
451	4	-103	1917	-55	8	-37
456	-1	-110	1923	-55	8	-37
461	-9	-103	1931	-55	8	-37
466	-9	-111	1911	-55	8	-37
471	-1	-104	1935	-71	48	-56
476	-9	-102	1926	-71	48	-56
481	-6	-101	1921	-71	48	-56
486	-8	-101	1928	-71	48	-56
491	-7	-104	1910	-71	48	-56
496	-7	-99	1920	-71	48	-56
501	-10	-109	1917	-58	38	-49
506	-2	-108	1922	-58	38	-49
511	-12	-108	1930	-58	38	-49
516	-11	-106	1935	-58	38	-49
521	-15	-108	1914	-58	38	-49
526	-4	-112	1927	-58	38	-49
531	-11	-110	1932	-65	42	31
536	-10	-104	1927	-65	42	31
541	-2	-110	1912	-65	42	31
546	-13	-111	1924	-65	42	31
551	-11	-105	1927	-65	42	31
556	-7	-103	1904	-65	42	31
561	-8	-108	1929	-35	15	-30
566	-5	-96	1928	-35	15	-30
571	-2	-103	1928	-35	15	-30
576	-2	-104	1912	-35	15	-30
581	-9	-106	1925	-35	15	-30
586	-12	-108	1924	-35	15	-30
591	-14	-108	1921	-59	3	84
596	-6	-107	1929	-59	3	84
601	-5	-101	1913	-59	3	84
606	-12	-109	1915	-59	3	84
611	-17	-107	1918	-59	3	84
616	-6	-116	1926	-59	3	84
621	-8	-104	1918	-59	3	84
626	-7	-101	1914	-60	-3	-7
631	-11	-106	1918	-60	-3	-7
636	-14	-105	1934	-60	-3	-7
641	-8	-103	1922	-60	-3	-7
646	-8	-107	1913	-60	-3	-7
651	-5	-107	1934	-60	-3	-7
656	-11	-102	1925	-74	28	-21
661	-10	-113	1931	-74	28	-21
666	-6	-101	1909	-74	28	-21
671	-6	-106	1916	-74	28	-21
676	-4	-99	1929	-74	28	-21
681	-11	-107	1928	-74	28	-21
686	-7	-105	1915	-65	35	20
691	-12	-107	1921	-65	35	20
696	-9	-104	1921	-65	35	20
701	-7	-102	1922	-65	35	20
706	-18	-105	1913	-65	35	20
711	-7	-108	1928	-65	35	20
716	5	-100	1923	-39	-2	-77
721	-8	-108	1921	-39	-2	-77
726	-7	-105	1929	-39	-2	-77
731	-6	-111	1928	-39	-2	-77
736	-13	-103	1931	-39	-2	-77
741	-6	-113	1929	-39	-2	-77
746	-4	-102	1927	-58	28	77
751	-5	-105	1915	-58	28	77
756	-2	-110	1922	-58	28	77
761	-7	-110	1928	-58	28	77
766	-9	-107	1939	-58	28	77
771	-9	-102	1921	-58	28	77
776	-3	-106	1927	-58	28	77
781	-10	-104	1911	-12	-3	21
786	-6	-111	1934	-12	-3	21
791	-10	-109	1921	-12	-3	21
796	-9	-102	1920	-12	-3	21
801	-7	-106	1924	-12	-3	21
806	-11	-110	1917	-12	-3	21
811	-3	-99	1914	-15	-2	-4
816	-7	-106	1938	-15	-2	-4
821	-15	-105	1927	-15	-2	-4
826	-6	-110	1915	-15	-2	-4
831	1	-102	1916	-15	-2	-4
836	-10	-103	1912	-15	-2	-4
841	-4	-103	1919	-49	48	11
846	-2	-106	1917	-49	48	11
851	-9	-109	1933	-49	48	11
856	-5	-113	1918	-49	48	11
861	-5	-104	1922	-49	48	11
866	-9	-105	1916	-49	48	11
871	-4	-106	1915	-55	57	-26
876	-14	-110	1912	-55	57	-26
881	-8	-104	1904	-55	57	-26
886	-6	-106	1909	-55	57	-26
891	-16	-110	1925	-55	57	-26
896	-11	-102	1912	-55	57	-26
901	-5	-110	1931	-36	55	20
906	-8	-106	1927	-36	55	20
911	-10	-105	1922	-36	55	20
916	-3	-106	1915	-36	55	20
921	-1	-102	1913	-36	55	20
926	-14	-108	1915	-36	55	20
931	-11	-109	1913	-36	55	20
936	-4	-97	1926	-29	65	-95
941	1	-106	1924	-29	65	-95
946	-7	-102	1918	-29	65	-95
951	-7	-104	1928	-29	65	-95
956	-9	-106	1922	-29	65	-95
961	-14	-102	1901	-29	65	-95
966	-1	-107	1925	-16	17	55
971	5	-107	1917	-16	17	55
976	-4	-106	1931	-16	17	55
981	-5	-102	1902	-16	17	55
986	-5	-112	1933	-16	17	55
991	-8	-105	1918	-16	17	55
996	-20	-106	1921	5	-9	89
1001	-4	-100	1920	5	-9	89
1006	1	-104	1912	5	-9	89
1011	-4	-101	1928	5	-9	89
1016	-13	-114	1917	5	-9	89
1021	-3	-100	1926	5	-9	89
1026	-7	-105	1923	-32	24	3
1031	-8	-106	1907	-32	24	3
1036	-15	-112	1909	-32	24	3
1041	-8	-105	1915	-32	24	3
1046	-10	-103	1922	-32	24	3
1051	-9	-104	1920	-32	24	3
1056	-2	-109	1923	-41	5	27
1061	-8	-106	1904	-41	5	27
1066	-1	-112	1918	-41	5	27
1071	-15	-104	1917	-41	5	27
1076	-2	-102	1921	-41	5	27
1081	-8	-112	1930	-41	5	27
1086	-7	-101	1918	-41	5	27
1091	-8	-101	1932	-34	38	-10
1096	-4	-110	1924	-34	38	-10
1101	-7	-109	1925	-34	38	-10
1106	-17	-105	1921	-34	38	-10
1111	-10	-111	1909	-34	38	-10
1116	-4	-104	1923	-34	38	-10
1121	-13	-99	1918	-55	4	37
1126	-9	-103	1915	-55	4	37
1131	-13	-112	1920	-55	4	37
