time	accelerometer_x	accelerometer_y	accelerometer_z	gyroscope_x	gyroscope_y	gyroscope_z
2001	-5	-111	1929	-53	57	-7
2006	-13	-101	1924	-53	57	-7
2011	-4	-112	1918	-53	57	-7
2016	-9	-105	1923	-53	57	-7
2021	-10	-101	1930	-86	45	-105
2026	-12	-98	1918	-86	45	-105
2031	-1	-105	1918	-86	45	-105
2036	-12	-100	1919	-86	45	-105
2041	-6	-105	1926	-86	45	-105
2046	-8	-102	1908	-86	45	-105
2051	-12	-103	1926	-39	-33	64
2056	-18	-112	1926	-39	-33	64
2061	-22	-105	1918	-39	-33	64
2066	-10	-101	1921	-39	-33	64
2071	-12	-103	1924	-39	-33	64
2076	-8	-106	1902	-39	-33	64
2081	-8	-99	1921	-18	1	2
2086	-7	-109	1927	-18	1	2
2091	-12	-103	1925	-18	1	2
2096	-13	-109	1925	-18	1	2
2101	-3	-98	1917	-18	1	2
2106	-6	-102	1898	-18	1	2
2111	-9	-105	1913	-26	-31	-5
2116	-4	-108	1908	-26	-31	-5
2121	-12	-104	1925	-26	-31	-5
2126	-7	-111	1918	-26	-31	-5
2131	-5	-100	1923	-26	-31	-5
2136	-13	-104	1917	-26	-31	-5
2141	-4	-112	1923	-51	-33	-7
2146	-22	-108	1930	-51	-33	-7
2151	-12	-110	1928	-51	-33	-7
2156	0	-105	1921	-51	-33	-7
2161	0	-107	1924	-51	-33	-7
2166	-8	-105	1928	-51	-33	-7
2171	-6	-103	1920	-51	-33	-7
2176	-8	-104	1917	-60	38	-48
2181	-2	-111	1919	-60	38	-48
2186	-10	-108	1921	-60	38	-48
2191	-5	-100	1918	-60	38	-48
2196	-9	-104	1919	-60	38	-48
2201	-3	-103	1932	-60	38	-48
2206	-5	-104	1922	-78	65	-2
2211	-2	-103	1924	-78	65	-2
2216	-6	-102	1921	-78	65	-2
2221	-14	-106	1937	-78	65	-2
2226	-3	-107	1935	-78	65	-2
2231	-6	-107	1915	-78	65	-2
2236	-10	-105	1913	-90	39	-105
2241	-5	-100	1918	-90	39	-105
2246	-8	-99	1920	-90	39	-105
2251	2	-94	1911	-90	39	-105
2256	-7	-111	1920	-90	39	-105
2261	-8	-107	1917	-90	39	-105
2266	-6	-95	1914	-39	9	68
2271	-3	-106	1909	-39	9	68
2276	-8	-102	1925	-39	9	68
2281	-7	-99	1924	-39	9	68
2286	-14	-99	1927	-39	9	68
2291	-8	-100	1923	-39	9	68
2296	-11	-104	1922	-42	-5	-121
2301	-6	-106	1918	-42	-5	-121
2306	-12	-103	1918	-42	-5	-121
2311	-2	-108	1919	-42	-5	-121
2316	-6	-104	1905	-42	-5	-121
2321	-9	-100	1917	-42	-5	-121
2326	-8	-101	1919	-42	-5	-121
2331	-1	-102	1926	-42	-2	-12
2336	-3	-109	1915	-42	-2	-12
2341	-6	-105	1918	-42	-2	-12
2346	-9	-97	1909	-42	-2	-12
2351	-15	-106	1923	-42	-2	-12
2356	-9	-98	1916	-42	-2	-12
2361	1	-110	1932	-51	12	11
2366	-5	-108	1910	-51	12	11
2371	-1	-104	1932	-51	12	11
2376	-13	-104	1916	-51	12	11
2381	-13	-110	1929	-51	12	11
2386	-12	-113	1929	-51	12	11
2391	-7	-112	1918	-84	-11	-33
2396	-12	-100	1918	-84	-11	-33
2401	-18	-112	1920	-84	-11	-33
2406	-10	-102	1913	-84	-11	-33
2411	-8	-109	1923	-84	-11	-33
2416	-4	-99	1924	-84	-11	-33
2421	-3	-112	1921	-90	11	72
2426	-6	-103	1928	-90	11	72
2431	-12	-110	1926	-90	11	72
