time	accelerometer_x	accelerometer_y	accelerometer_z	gyroscope_x	gyroscope_y	gyroscope_z
16001	-12	-106	1925	-81	38	-30
16006	-6	-94	1912	-81	38	-30
16011	-13	-106	1907	-81	38	-30
16016	-17	-108	1918	-81	38	-30
16021	-13	-108	1919	-81	38	-30
16026	-8	-101	1920	-81	38	-30
16031	-3	-102	1923	-64	-3	-26
16036	-9	-103	1919	-64	-3	-26
16041	-6	-105	1915	-64	-3	-26
16046	-5	-109	1916	-64	-3	-26
16051	-9	-106	1919	-64	-3	-26
16056	-11	-105	1932	-64	-3	-26
16061	-9	-104	1910	-32	47	-14
16066	-2	-99	1918	-32	47	-14
16071	-7	-108	1920	-32	47	-14
16076	-8	-100	1923	-32	47	-14
16081	-6	-108	1926	-32	47	-14
16086	-5	-96	1912	-32	47	-14
16091	-12	-107	1919	-36	-13	-5
16096	-6	-106	1901	-36	-13	-5
16101	2	-100	1904	-36	-13	-5
16106	-8	-104	1907	-36	-13	-5
16111	3	-106	1919	-36	-13	-5
16116	-6	-99	1932	-36	-13	-5
16121	-10	-103	1914	-36	-13	-5
16126	-12	-104	1921	-15	-13	71
16131	-7	-111	1922	-15	-13	71
16136	-8	-95	1921	-15	-13	71
16141	-7	-101	1933	-15	-13	71
16146	-7	-104	1915	-15	-13	71
16151	-11	-100	1923	-15	-13	71
16156	-6	-108	1918	-34	31	58
16161	-9	-101	1904	-34	31	58
16166	-4	-109	1906	-34	31	58
16171	-9	-96	1918	-34	31	58
16176	0	-104	1900	-34	31	58
16181	-11	-105	1936	-34	31	58
16186	-14	-106	1921	3	24	-16
16191	-12	-98	1916	3	24	-16
16196	-1	-96	1942	3	24	-16
16201	-8	-105	1915	3	24	-16
16206	-10	-101	1918	3	24	-16
16211	-1	-113	1928	3	24	-16
16216	-12	-100	1911	-41	90	-48
16221	-2	-110	1944	-41	90	-48
16226	-2	-99	1926	-41	90	-48
16231	-14	-102	1915	-41	90	-48
16236	2	-97	1917	-41	90	-48
16241	-9	-108	1922	-41	90	-48
16246	-12	-103	1910	-80	58	115
16251	-8	-110	1922	-80	58	115
16256	-17	-100	1907	-80	58	115
16261	-10	-105	1921	-80	58	115
16266	-3	-105	1928	-80	58	115
16271	-10	-112	1922	-80	58	115
