time	accelerometer_x	accelerometer_y	accelerometer_z	gyroscope_x	gyroscope_y	gyroscope_z
18001	385	-3767	860	94	1181	584
18006	444	-3648	692	94	1181	584
18011	599	-3222	597	94	1181	584
18016	645	-2911	132	94	1181	584
18021	879	-2924	-893	94	1181	584
18026	728	-3054	-1305	94	1181	584
18031	460	-3021	-934	94	1181	584
18036	361	-2819	-363	94	1181	584
18041	268	-2638	141	94	1181	584
18046	61	-2503	647	94	1181	584
18051	-49	-2381	926	94	1181	584
18056	-86	-2148	870	94	1181	584
18061	-81	-1938	743	94	1181	584
18066	-63	-1587	666	94	1181	584
18071	77	-1205	588	94	1181	584
18076	141	-873	586	94	1181	584
18081	229	-608	668	94	1181	584
18086	179	-460	842	94	1181	584
18091	47	-385	1192	94	1181	584
18096	-50	-409	1734	94	1181	584
18101	-280	-503	2266	94	1181	584
18106	-401	-536	2446	94	1181	584
18111	-303	-574	2410	94	1181	584
18116	-145	-564	2224	94	1181	584
18121	-104	-544	1905	94	1181	584
18126	-103	-398	1665	94	1181	584
18131	-82	-285	1492	94	1181	584
18136	-72	-222	1461	94	1181	584
18141	-78	-235	1450	94	1181	584
18146	-135	-269	1401	94	1181	584
18151	-174	-355	1336	94	1181	584
18156	-204	-506	1217	94	1181	584
18161	-259	-659	1086	94	1181	584
18166	-352	-750	1106	94	1181	584
18171	-420	-834	1248	94	1181	584
18176	-397	-857	1384	94	1181	584
18181	-327	-741	1521	94	1181	584
18186	-340	-546	1635	94	1181	584
18191	-334	-398	1772	94	1181	584
18196	-315	-234	1876	94	1181	584
18201	-287	-85	1953	94	1181	584
18206	-229	68	1966	94	1181	584
18211	-206	180	2014	94	1181	584
18216	-188	261	2071	94	1181	584
18221	-224	223	2145	94	1181	584
18226	-354	-11	2406	94	1181	584
18231	-512	-260	2650	94	1181	584
18236	-563	-448	2797	94	1181	584
18241	-524	-519	2662	94	1181	584
18246	-461	-436	2481	94	1181	584
18251	-379	-290	2285	94	1181	584
18256	-319	-171	2143	94	1181	584
18261	-260	-66	2034	94	1181	584
18266	-210	22	1886	94	1181	584
18271	-154	19	1702	94	1181	584
18276	-178	-84	1587	94	1181	584
18281	-297	-147	1606	94	1181	584
18286	-405	-128	1676	94	1181	584
18291	-426	-158	1801	94	1181	584
18296	-446	-222	1982	94	1181	584
18301	-438	-281	2152	94	1181	584
18306	-440	-310	2282	94	1181	584
18311	-415	-311	2335	94	1181	584
18316	-359	-292	2335	94	1181	584
18321	-290	-225	2440	94	1181	584
18326	-187	-81	2653	94	1181	584
18331	-286	-22	2499	94	1181	584
18336	-330	-15	2423	94	1181	584
18341	-253	-7	2536	94	1181	584
18346	-180	-7	2577	94	1181	584
18351	-276	50	2461	94	1181	584
18356	-408	60	2370	94	1181	584
18361	-441	92	2205	94	1181	584
18366	-334	136	1986	94	1181	584
18371	-300	143	1812	94	1181	584
18376	-399	31	1716	94	1181	584
18381	-529	-77	1719	94	1181	584
18386	-625	-222	1961	94	1181	584
18391	-627	-468	2302	94	1181	584
18396	-619	-686	2486	94	1181	584
18401	-597	-755	2450	94	1181	584
