time	accelerometer_x	accelerometer_y	accelerometer_z	gyroscope_x	gyroscope_y	gyroscope_z
1001	53	-1041	1422	56	-870	-38
1006	68	-795	1661	56	-870	-38
1011	-249	-910	1349	56	-870	-38
1016	-217	-888	1325	56	-870	-38
1021	-24	-782	1279	56	-870	-38
1026	259	-708	1202	385	-1452	216
1031	-157	-780	1483	385	-1452	216
1036	-259	-837	1362	385	-1452	216
1041	7	-762	1326	385	-1452	216
1046	-114	-889	1481	385	-1452	216
1051	-226	-1034	1567	385	-1452	216
1056	-294	-1138	1668	330	-592	557
1061	-310	-1144	1715	330	-592	557
1066	-280	-1085	1714	330	-592	557
1071	-116	-934	1758	330	-592	557
1076	-204	-1038	1834	330	-592	557
1081	-451	-1067	1784	330	-592	557
1086	-162	-1154	1933	330	-592	557
1091	-260	-1052	1693	-525	-1565	1149
1096	-470	-1102	1618	-525	-1565	1149
1101	-544	-585	1392	-525	-1565	1149
1106	-260	-1024	701	-525	-1565	1149
1111	137	-558	775	-525	-1565	1149
1116	271	-588	1394	-525	-1565	1149
1121	295	-721	1922	-992	-1429	207
1126	206	-1018	1926	-992	-1429	207
1131	135	-1188	1831	-992	-1429	207
1136	67	-1150	1753	-992	-1429	207
1141	172	-1195	1873	-992	-1429	207
1146	-172	-1341	1691	-992	-1429	207
1151	-340	-1559	1747	-1942	-1077	14
1156	-267	-1385	1295	-1942	-1077	14
1161	138	-726	1023	-1942	-1077	14
1166	844	-710	588	-1942	-1077	14
1171	1066	-757	1126	-1942	-1077	14
1176	706	-651	1664	-1942	-1077	14
1181	513	-1410	1638	516	-713	1686
1186	446	-1115	2156	516	-713	1686
1191	692	-1118	2735	516	-713	1686
1196	434	-1641	3031	516	-713	1686
1201	37	-2776	2023	516	-713	1686
1206	241	-1972	1488	516	-713	1686
1211	266	-2084	1990	-2224	-913	1399
1216	187	-1349	1500	-2224	-913	1399
1221	179	-1183	1497	-2224	-913	1399
1226	200	-1127	1395	-2224	-913	1399
1231	118	-1538	1634	-2224	-913	1399
1236	336	-1902	1773	-2224	-913	1399
1241	491	-1784	1679	-2224	-913	1399
1246	399	-2451	2899	-2271	-1316	1688
1251	498	-1667	1327	-2271	-1316	1688
1256	942	-1581	1178	-2271	-1316	1688
1261	689	-1453	975	-2271	-1316	1688
1266	559	-1432	676	-2271	-1316	1688
1271	462	-1377	500	-2271	-1316	1688
1276	448	-1555	355	-339	-2208	277
1281	564	-1451	413	-339	-2208	277
1286	490	-1618	409	-339	-2208	277
1291	470	-1544	224	-339	-2208	277
1296	849	-1530	142	-339	-2208	277
1301	1156	-2057	494	-339	-2208	277
1306	1211	-2241	449	-318	-2026	17
1311	1175	-2121	350	-318	-2026	17
1316	1450	-1804	321	-318	-2026	17
1321	1288	-1627	100	-318	-2026	17
1326	852	-1297	-109	-318	-2026	17
1331	654	-1053	-98	-318	-2026	17
1336	433	-855	-318	-1139	-2566	-985
1341	-451	-380	-358	-1139	-2566	-985
1346	-1693	295	167	-1139	-2566	-985
1351	-743	484	219	-1139	-2566	-985
1356	406	-1103	340	-1139	-2566	-985
1361	673	-1134	-361	-1139	-2566	-985
1366	633	-1648	-371	-1624	-2987	-1585
1371	889	-1866	-375	-1624	-2987	-1585
1376	1049	-1539	-52	-1624	-2987	-1585
1381	1127	-1068	101	-1624	-2987	-1585
1386	1219	-701	162	-1624	-2987	-1585
1391	1101	-468	138	-1624	-2987	-1585
