time	accelerometer_x	accelerometer_y	accelerometer_z	gyroscope_x	gyroscope_y	gyroscope_z
16001	1967	8	-140	6344	-145	12956
16006	1962	10	-144	6344	-145	12956
16011	1962	-4	-140	6344	-145	12956
16016	1959	-12	-153	6344	-145	12956
16021	1959	-17	-137	6344	-145	12956
16026	1958	-26	-152	6344	-145	12956
16031	1957	-30	-139	5812	4652	12058
16036	1967	-46	-148	5812	4652	12058
16041	1971	-49	-147	5812	4652	12058
16046	1982	-60	-153	5812	4652	12058
16051	1975	-62	-145	5812	4652	12058
16056	1991	-72	-124	5812	4652	12058
16061	1986	-72	-120	4470	8340	9940
16066	1994	-77	-110	4470	8340	9940
16071	2001	-82	-108	4470	8340	9940
16076	2008	-89	-106	4470	8340	9940
16081	2013	-88	-104	4470	8340	9940
16086	2012	-81	-94	4470	8340	9940
16091	2014	-90	-88	3078	10353	7728
16096	2012	-83	-96	3078	10353	7728
16101	2015	-78	-60	3078	10353	7728
16106	2023	-73	-61	3078	10353	7728
16111	2008	-71	-46	3078	10353	7728
16116	2010	-67	-37	3078	10353	7728
16121	1995	-62	-40	3078	10353	7728
16126	1754	-209	1149	-30340	159	-10048
16131	1146	-381	-206	-30340	159	-10048
16136	-6389	7406	-7897	-30340	159	-10048
16141	-2429	-8977	3904	-30340	159	-10048
16146	130	-4478	249	-30340	159	-10048
16151	577	-3094	-1614	-30340	159	-10048
16156	316	1154	-2717	-3504	4562	1209
16161	-735	659	-1490	-3504	4562	1209
16166	-678	-4744	-1695	-3504	4562	1209
16171	1579	-5991	-1858	-3504	4562	1209
16176	3303	-4998	-9	-3504	4562	1209
16181	3346	-3581	-630	-3504	4562	1209
16186	2661	-1882	-2574	-3310	2092	-1808
16191	1503	-462	-2688	-3310	2092	-1808
16196	1002	67	-2122	-3310	2092	-1808
16201	739	732	-1992	-3310	2092	-1808
16206	780	958	-1560	-3310	2092	-1808
16211	836	734	-1130	-3310	2092	-1808
16216	695	531	-969	-1857	3459	-2916
16221	952	363	-1022	-1857	3459	-2916
16226	1133	14	-842	-1857	3459	-2916
16231	1258	-251	-568	-1857	3459	-2916
16236	1316	-296	-291	-1857	3459	-2916
16241	1350	-225	-198	-1857	3459	-2916
16246	1689	-148	-295	-2175	4744	-51
16251	2113	-318	-834	-2175	4744	-51
16256	2190	-551	-1165	-2175	4744	-51
16261	2235	-549	-1454	-2175	4744	-51
16266	2573	-569	-1838	-2175	4744	-51
16271	3022	-679	-2320	-2175	4744	-51
16276	3369	-678	-2847	-2175	4744	-51
16281	3806	-275	-3638	223	1105	-226
16286	3359	241	-4420	223	1105	-226
16291	2661	517	-4929	223	1105	-226
16296	2448	639	-5346	223	1105	-226
16301	2622	729	-5493	223	1105	-226
16306	2766	631	-5558	223	1105	-226
16311	2878	470	-5575	663	-1817	345
16316	2858	295	-5573	663	-1817	345
16321	2828	127	-5579	663	-1817	345
16326	2914	19	-5537	663	-1817	345
16331	3013	-98	-5373	663	-1817	345
16336	3216	-108	-5178	663	-1817	345
16341	3797	206	-5105	2949	-6239	934
16346	4379	415	-5501	2949	-6239	934
16351	4821	337	-6053	2949	-6239	934
16356	5004	7	-6583	2949	-6239	934
16361	5121	-447	-6983	2949	-6239	934
16366	4601	-1150	-6599	2949	-6239	934
16371	4280	-1435	-5491	919	-10515	3988
16376	3941	-1263	-4535	919	-10515	3988
16381	3730	-962	-3711	919	-10515	3988
16386	3721	-636	-2981	919	-10515	3988
16391	3753	-348	-2529	919	-10515	3988
16396	3884	-156	-2050	919	-10515	3988
16401	4002	-107	-1839	-12982	-15240	-632
16406	3787	-240	-1796	-12982	-15240	-632
16411	3310	-285	-1678	-12982	-15240	-632
16416	2891	-369	-1449	-12982	-15240	-632
16421	3132	-428	-1596	-12982	-15240	-632
16426	3638	-444	-1789	-12982	-15240	-632
