time	accelerometer_x	accelerometer_y	accelerometer_z	gyroscope_x	gyroscope_y	gyroscope_z
12986	-1603	1096	529	-13	15	-77
12991	-1611	1113	516	-517	8775	10449
12996	-1612	1114	529	-517	8775	10449
13001	-1602	1122	538	-517	8775	10449
13351	2254	-61	-88	-517	8775	10449
13356	2251	-59	-93	-517	8775	10449
13361	2250	-54	-83	-517	8775	10449
13366	2247	-51	-90	-2179	7825	11295
13371	2242	-49	-82	-2179	7825	11295
13376	2243	-53	-76	-2179	7825	11295
13381	2249	-57	-82	-2179	7825	11295
13386	2239	-51	-82	-2179	7825	11295
13391	2237	-45	-64	-2179	7825	11295
13396	2241	-48	-72	-3732	5653	12237
13401	2232	-42	-92	-3732	5653	12237
13406	2242	-46	-85	-3732	5653	12237
13411	2234	-41	-95	-3732	5653	12237
13416	2235	-45	-88	-3732	5653	12237
13421	2232	-45	-68	-3732	5653	12237
13426	2228	-47	-89	-4751	2280	13350
13431	2236	-47	-91	-4751	2280	13350
13436	2240	-57	-73	-4751	2280	13350
13441	2238	-56	-86	-4751	2280	13350
13446	2232	-59	-99	-4751	2280	13350
13451	2239	-57	-90	-4751	2280	13350
13456	2235	-59	-90	-4887	-1834	13342
13461	2237	-62	-84	-4887	-1834	13342
13466	2242	-63	-105	-4887	-1834	13342
13471	2243	-64	-96	-4887	-1834	13342
13476	2240	-60	-92	-4887	-1834	13342
13481	2243	-54	-109	-4887	-1834	13342
13486	2245	-63	-114	-4887	-1834	13342
13491	2244	-61	-111	-26358	3751	-10102
13496	2233	-59	-117	-26358	3751	-10102
13501	2238	-61	-132	-26358	3751	-10102
13506	2231	-57	-139	-26358	3751	-10102
13511	2233	-52	-129	-26358	3751	-10102
13516	-8140	658	480	-26358	3751	-10102
13521	748	-1683	-1458	1439	5023	510
13526	853	-946	-2891	1439	5023	510
13531	1039	-139	-2458	1439	5023	510
13536	1895	313	-2214	1439	5023	510
13541	1941	-394	-2437	1439	5023	510
13546	1766	-1290	-3618	1439	5023	510
13551	3412	-2107	-6149	-5708	-3176	1600
13556	4568	-3688	-5843	-5708	-3176	1600
13561	2135	-2011	-6281	-5708	-3176	1600
13566	2218	-921	-6250	-5708	-3176	1600
13571	1846	125	-4114	-5708	-3176	1600
13576	1310	367	-1621	-5708	-3176	1600
13581	641	545	-137	-2942	4206	606
13586	872	803	542	-2942	4206	606
13591	1196	1016	1064	-2942	4206	606
13596	1718	1423	1606	-2942	4206	606
13601	2021	1870	2305	-2942	4206	606
13606	2293	1733	2011	-2942	4206	606
13611	2504	1268	1213	-1183	3693	950
13616	2669	1033	-125	-1183	3693	950
13621	2789	1025	-1271	-1183	3693	950
13626	2370	1312	-2564	-1183	3693	950
13631	2221	1551	-3405	-1183	3693	950
13636	2106	1635	-3591	-1183	3693	950
13641	2087	1506	-3311	-1183	3693	950
13646	2282	1465	-3236	-1140	116	688
13651	2519	1703	-3525	-1140	116	688
13656	2120	2041	-3886	-1140	116	688
13661	1828	2443	-4104	-1140	116	688
13666	1989	2724	-4082	-1140	116	688
13671	2268	2788	-3634	-1140	116	688
13676	2426	2892	-3302	-39	-1402	-676
13681	2502	3112	-3170	-39	-1402	-676
13686	2647	3363	-3325	-39	-1402	-676
13691	2642	3460	-3749	-39	-1402	-676
13696	2627	3494	-4186	-39	-1402	-676
13701	2671	3672	-4437	-39	-1402	-676
13706	2758	3961	-4535	-406	-4258	-5160
13711	2996	4320	-4227	-406	-4258	-5160
13716	3318	4703	-3971	-406	-4258	-5160
13721	3723	4901	-3917	-406	-4258	-5160
13726	4079	4826	-3926	-406	-4258	-5160
13731	3952	4424	-3913	-406	-4258	-5160
13736	3874	4199	-3946	-1160	-8734	-7899
13741	4027	3876	-4119	-1160	-8734	-7899
13746	4190	3591	-4223	-1160	-8734	-7899
13751	4485	3196	-4066	-1160	-8734	-7899
13756	4829	2671	-3580	-1160	-8734	-7899
13761	5260	2118	-3005	-1160	-8734	-7899
13766	5173	1613	-2751	-3256	-8997	-10587
13771	4911	1098	-2293	-3256	-8997	-10587
13776	3627	455	-1396	-3256	-8997	-10587
13781	2627	-47	-302	-3256	-8997	-10587
13786	2340	-113	-59	-3256	-8997	-10587
13791	2328	-107	-64	-3256	-8997	-10587
13796	2316	-95	-72	-3256	-8997	-10587
13801	2311	-103	-77	-4838	-6035	-12436
13806	2302	-99	-75	-4838	-6035	-12436
13811	2298	-96	-89	-4838	-6035	-12436
13816	2293	-96	-93	-4838	-6035	-12436
13821	2281	-99	-104	-4838	-6035	-12436
13826	2272	-99	-120	-4838	-6035	-12436
13831	2266	-98	-128	-5741	-1575	-13580
13836	2265	-98	-114	-5741	-1575	-13580
13841	2251	-97	-126	-5741	-1575	-13580
13846	2244	-87	-123	-5741	-1575	-13580
13851	2234	-80	-141	-5741	-1575	-13580
13856	2228	-83	-141	-5741	-1575	-13580
13861	2218	-70	-144	-5484	3271	-13388
13866	2221	-69	-149	-5484	3271	-13388
13871	2206	-59	-151	-5484	3271	-13388
13876	2203	-54	-153	-5484	3271	-13388
13881	2196	-40	-158	-5484	3271	-13388
13886	2198	-36	-161	-5484	3271	-13388
13891	2198	-30	-154	-4278	7187	-11567
13896	2199	-16	-159	-4278	7187	-11567
13901	2203	-9	-157	-4278	7187	-11567
13906	2195	-12	-161	-4278	7187	-11567
13911	2201	4	-144	-4278	7187	-11567
13916	2197	4	-157	-4278	7187	-11567
13921	2207	13	-160	-2535	9567	-9752
13926	2214	15	-141	-2535	9567	-9752
13931	2212	16	-134	-2535	9567	-9752
13936	2219	28	-144	-2535	9567	-9752
13941	2216	15	-134	-2535	9567	-9752
13946	2225	23	-142	-2535	9567	-9752
13951	2222	25	-130	-2535	9567	-9752
